book1,book2,prop1,prop2,count,pp1,pp2
abrgchronologiqu00barr_0,bub_gb_44CuYQ3E0voC,0.9642857142857143,0.9683544303797469,459,476,474
abrgchronologiqu00barr_0,cihm_36811,0.9390756302521008,0.9293139293139293,447,476,481
abrgchronologiqu00barr_10,bub_gb_6zeilr_lWmYC,0.960352422907489,0.9646017699115044,436,454,452
abrgchronologiqu00barr_10,cihm_36821,0.9295154185022027,0.9193899782135077,422,454,459
abrgchronologiqu00barr_4,bub_gb_GHryT3nSTrQC,0.9273127753303965,0.9397321428571429,421,454,448
abrgchronologiqu00barr_5,cihm_36816,0.9568181818181818,0.9376391982182628,421,440,449
abrgchronologiqu00barr_7,bub_gb_Py84tbFtUFQC,0.9652173913043478,0.9694323144104804,444,460,458
abrgchronologiqu00barr_8,bub_gb_YLgUVxhX8mgC,0.9439655172413793,0.9563318777292577,438,464,458
abrgchronologiqu00barr_8,cihm_36819,0.9137931034482759,0.9040511727078892,424,464,469
abrgchronologiqu00barr_9,cihm_36820,0.9690265486725663,0.9501084598698482,438,452,461
abrgdelarp02bodi,abrgdelarpubliq01bodigoog,0.9327354260089686,0.9203539823008849,416,446,452
abrgdelhisto01mouh,abrgdelhist01mouh,0.9691780821917808,0.9758620689655172,566,584,580
abrgdelhisto02mouh,abrgdelhist02mouh,0.9203703703703704,0.9307116104868914,497,540,534
abrgdelhisto03mouh,abrgdelhist03mouh,0.9533333333333334,0.9618834080717489,429,450,446
abrgdelhisto03mouh,abrgdelhistoire01mouhgoog,0.9133333333333333,0.9256756756756757,411,450,444
abrgdelhistoire00assogoog,b28034491,0.9844192634560907,0.981638418079096,695,706,708
abrgdelhistoire01mouhgoog,abrgdelhist03mouh,0.9211711711711712,0.9170403587443946,409,444,446
abrgdelhistoire12harpgoog,cihm_48840,0.9506369426751592,0.9004524886877828,597,628,663
abrgdelhistoire14harpgoog,bub_gb_lqzHtttcWuYC,0.9468085106382979,0.9015918958031838,623,658,691
abrgdudictionna00bertgoog,bub_gb_Kk3bjOmImRQC,0.9797619047619047,0.9299435028248587,823,840,885
abrglhistoiregn00histgoog,abrglhistoiregn02histgoog,0.9397217928902627,0.9325153374233128,608,647,652
abrglhistoiregn01histgoog,bub_gb_lqzHtttcWuYC,0.9564586357039188,0.9536903039073806,659,689,691
abstractofeviden00grea,pp1308751-2001,0.921875,0.9414893617021277,177,192,188
abufaroulafamill00duci,bub_gb_Br4fhrABBA4C,0.9285714285714286,0.9285714285714286,52,56,56
acandidnarrativ01rimigoog,candidnarrativeo00rimi_0,0.921875,0.9076923076923077,118,128,130
acarefulandstri04edwagoog,acarefulenquiry00edwauoft,0.974025974025974,0.9656652360515021,450,462,466
acarefulandstri04edwagoog,carefulstrictenq00edw,0.9307359307359307,0.9188034188034188,430,462,468
acarefulandstri04edwagoog,carefulstrictenq1762edwa,0.9393939393939394,0.9644444444444444,434,462,450
acarefulenquiry00edwauoft,carefulstrictenq00edw,0.944206008583691,0.9401709401709402,440,466,468
acatalogueroyal00unkngoog,acatalogueroyal03walpgoog,0.9320754716981132,0.946360153256705,247,265,261
acatalogueroyal00unkngoog,catalogueofroyal00walp,0.939622641509434,0.9154411764705882,249,265,272
acatalogueroyal01walpgoog,acatalogueroyal00unkngoog,0.915129151291513,0.9358490566037736,248,271,265
acatalogueroyal01walpgoog,acatalogueroyal03walpgoog,0.9298892988929889,0.9655172413793104,252,271,261
acatalogueroyal01walpgoog,catalogueofroyal00walp,0.933579335793358,0.9301470588235294,253,271,272
acatalogueroyal03walpgoog,catalogueofroyal00walp,0.9616858237547893,0.9227941176470589,251,261,272
acatalogueroyal04walpgoog,acatalogueroyal00walpgoog,0.9178571428571428,0.9081272084805654,257,280,283
acatalogueroyal04walpgoog,acatalogueroyal02walpgoog,0.9178571428571428,0.9081272084805654,257,280,283
accdisease00monr,armydiseases00monruoft,0.9652777777777778,0.9455782312925171,417,432,441
accefficac00falc,b21440128,0.918918918918919,0.9272727272727272,204,222,220
accorddelarvlat00rastgoog,accorddelarv00chap,0.9517766497461929,0.9615384615384616,375,394,390
accountofcorsica00bosw,accountofcorsica00boswiala,0.9278846153846154,0.9414634146341463,386,416,410
accountofcorsica00bosw,accountofcorsica1769bosw,0.9302884615384616,0.9347826086956522,387,416,414
accountofcorsica00boswiala,accountofcorsica1769bosw,0.9414634146341463,0.9323671497584541,386,410,414
accountofcountri00dobb_0,accountofcountri00dobb,0.9043478260869565,0.9122807017543859,208,230,228
accountofcountri01dobb,accountofcountri00dobb,0.9173913043478261,0.9254385964912281,211,230,228
accountofcountri01dobb,accountofcountri00dobb_0,0.9043478260869565,0.9043478260869565,208,230,230
accountofcountri01dobb,cihm_35075,0.9043478260869565,0.9162995594713657,208,230,227
accountofeuropea001burk,accountofeuropea01burk,0.96045197740113,0.9444444444444444,340,354,360
accountofeuropea001burk,anaccounteuropea01burkiala,0.9548022598870056,0.949438202247191,338,354,356
accountofeuropea001burk,cihm_28244,0.9350282485875706,0.914364640883978,331,354,362
accountofeuropea00burk,cihm_32607,0.9378698224852071,0.9323529411764706,317,338,340
accountofeuropea01burk,anaccounteuropea01burkiala,0.9444444444444444,0.9550561797752809,340,360,356
accountofeuropea01burk,cihm_28244,0.9333333333333333,0.9281767955801105,336,360,362
accountofeuropea02burk,accountofeuropea02burkiala,0.9606060606060606,0.9723926380368099,317,330,326
accountofeuropea02burk,accountofeuropea02burkrich,0.9606060606060606,0.9606060606060606,317,330,330
accountofeuropea02burk,anaccountofeurop02burkiala,0.9575757575757575,0.9575757575757575,316,330,330
